shift_id,category,note
S100737,relief_problem,Next shift guard did not pitch. Had to cover.
S106900,relief_problem,client signed for the extra hrs but real reason is relief no show again
S108361,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S100877,equipment_failure,"generator fault, stayed to monitor"
S108162,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S102786,absence_cover,Covering for Mahlangu - booked off sick
S107007,no_useful_information,
S106106,late_handover,shift handover delayed by 30 min
S106463,relief_problem,double shift because relief never pitched
S102332,relief_problem,double shift because relief never pitched
S108056,unclear_or_mixed,Nexxt shift guuard did not pitch. Had to cover.
S103439,relief_problem,"no replacement sent, ngicela sort this out"
S100571,relief_problem,relief no show AGAIN
S101332,late_handover,"handover late again, keys missing"
S107753,relief_problem,"no replacement sent, ngicela sort this out.."
S106253,client_requested,Client requested deep clean before the audit - approved
S100168,no_useful_information,all fine
S104252,no_useful_information,sharp
S103008,late_handover,"oorhandiging was laat, gewag vir sleutels"
S105453,no_useful_information,akukho lutho
S106113,unclear_or_mixed,etra hours approved by client for the event setup
S106907,late_handover,"oorhandiging was laat, gewag vir sleutels"
S106876,late_handover,"oorhandiging was laat, gewag vir sleutels"
S105345,relief_problem,"next shift akafikanga, ngihlale kuze kube 06h00"
S106814,absence_cover,"Mabaso didnt come in, covered the post"
S109082,late_handover,"hanodver late again, keys missing"
S107738,late_handover,"waited 50 min for handover, OB book not signed"
S107339,unclear_or_mixed,"additional cover requested by site manager, signed off"
S100205,no_useful_information,no issues on site
S108984,absence_cover,Covering for Pillay - booked off sick
S104765,late_handover,"waited 50 min for handover, ob book not signed"
S102055,absence_cover,"covering Wyk post, no show no call"
S101825,late_handover,"late handover, waiting on paperwork"
S102559,no_useful_information,no incidents
S106334,client_requested,Client asked for extra patrol aftter the break-in Tuesday
S101061,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S108139,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S106859,no_useful_information,fine
S103877,no_useful_information,sharp
S103656,absence_cover,"DOUBLE DUTY TODAY, FOURIE ON FAMILY RESPONSIBILITY LEAVE"
S105093,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S105680,client_requested,"client wanted extra man on the gate for the event, approved"
S101121,no_useful_information,niks om te rapporteer nie
S108690,no_useful_information,no incidents
S105807,client_requested,klient het ekstra ure gevra vir stockake
S105217,late_handover,shift handover delayed by 25 min
S105371,no_useful_information,ok
S106224,absence_cover,"gedek vir Adams, siek gemeld"
S108070,cover_unspecified,stood in for Radebe
S104308,relief_problem,Next shift guard did not pitch. Had to cover
S105062,no_useful_information,quiet shift
S101434,equipment_failure,"scrubber broke down, had to do the floor manually.."
S103671,absence_cover,Covering for September - booked off sick..
S108354,absence_cover,"gedek vir Tshabaala, siek gemeld"
S108267,unclear_or_mixed,Centre mgr requested additionaal cover for stocktake
S108389,unclear_or_mixed,"requested by centre management for load in, signed off"
S103433,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S106978,relief_problem,"next shift akafikanga, ngihlale kuze kube six"
S106245,no_useful_information,sharp
S106878,unclear_or_mixed,"September didt come in, covered the post"
S104428,client_requested,"stocktake ran over, client asked us to remain, thhey know they pay for it"
S102342,no_useful_information,.
S105877,no_useful_information,all good
S106936,no_useful_information,ok
S107938,late_handover,"late handover, waiting on paperwork"
S108000,late_handover,"handover late agn, keys missing.."
S103399,no_useful_information,ntr
S101233,cover_unspecified,"took Jacobs shift as well, 2 posts 1 guard"
S101223,client_requested,Client requested deep clean before the audit - approved
S105661,relief_problem,double shift because relief never pitched
S108187,late_handover,"oorhandiging was laat, gewag vir sletuels !"
S106210,no_useful_information,all good
S104295,equipment_failure,"machine down again, took twice as long"
S101088,equipment_failure,"scrubber broke down, had to do the floor manualyl"
S104328,unclear_or_mixed,Centre manager requested additional cover for stocktake
S101143,unclear_or_mixed,extra hours approved by client for the event seup
S107378,no_useful_information,n/a
S109333,equipment_failure,"lift out of order, everything carried up stairs, took long"
S106514,late_handover,shift handover delayed by 25 min
S101642,client_requested,Client requested deep clean before the audit - approved
S100593,cover_unspecified,"took fourie shift as wll, 2 posts 1 guard"
S105147,client_requested,"client says stay till 06:00, dont know if office approved"
S105777,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S103083,relief_problem,"still on site, relief was suppose to come 0600"
S107881,client_requested,Client requested deep clean before the audit - approved
S100164,absence_cover,"uFouire akezanga namhlanje, ngimele yena"
S106903,relief_problem,relief no show AGAIN
S106247,relief_problem,next shift guard did not pitch. had to cover
S108878,late_handover,"handover late again, keys missing"
S102888,absence_cover,"double duty today, Mahlangu on family responsibility leave"
S107172,no_useful_information,nothing to report
S105907,cover_unspecified,stood in for Mthembu
S107272,relief_problem,"aflos het nie opgedaag nie, moes aanbly"
S107719,cover_unspecified,Covered for Motaung again - 3rd time this month
